id,Outcome,Type_of_outcome,First_Author,publication_year,population,nationality,job_role,study_design,time_points,intervention,intervention_class,Comparison Group,n_intervention,n_control,effect_measure,effect_size,lower_ci,upper_ci,p_value,n_outcome_intervention_binary_beginning,n_outcome _intervention_binary_final,n_outcomes_binary_control_begin,n_outcomes_binary_control_end ,mean_continuous_intervention_begin ,mean_continuous_intervention_end ,mean_continuous_ctrl_begin,mean_continuous_ctrl_end,scale_metric_outcome,industry_setting,study_duration,assessed_quality 
Chancellor_2014_1,Happiness,Happiness enhancement,Joseph Chancellor,2014,Medical Practitioners,Japanese,Engineering Employees,Randomised control design,"3 (baseline, during, post-intervention)","positive activity intervention - a cognitive
gratitude exercise - participants spent 10 min per week writing about three things that went well at work during the previous week",Secondary,Control,15,17,t value,2.41,,,p = .02,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Subjective Happiness Scale (Lyubomirsky & Lepper 1999),The study was conducted entirely online in Japanese using a secure website. All participants were already daily wearing sociometric badges at the company for at least 3 months before the study began as part of an ongoing company project.,6 weeks,
Das_2019_3,Depressive mood,Depressive mood reduction,Sai Krupa Das,2019,employees reporting high levels of work-related fatigue.,,Employees   ,worksite-based randomized controlled trial,"4 ( baseline, 6, 12, and 18 months)","The 2.5-day intervention uses a multidisciplinary approach rooted in performance psychology, exercise physiology, and nutrition to help maximize energy and promote lifelong behavior change. the intervention blends cognitive behavioral therapy and acceptance and commitment therapy to directly target the participant’s thoughts, actions, emotional processing, and social interactions",Secondary,wait-listed control group,Wave 1 = 163; Wave 2 = 146; Wave 3 =  ; Wave 4 = ,Wave 1 = 83; Wave 2 = 74; Wave 3 =  ; Wave 4 = ,Six-Month Change in Adjusted mean,IG = -.29; CG = -.2,,,p = 0.920,NA,NA,NA,NA,1,,2,,Profile of Mood States (POMS) questionnaire,"To be eligible to participate, worksites had to have
been in operation for at least 3 years, have  300 employees
with a low turnover rate ( 15%)",18 month,
Das_2019_2,Depression,Depression reduction,Sai Krupa Das,2019,employees reporting high levels of work-related fatigue.,,Employees   ,worksite-based randomized controlled trial,"4 ( baseline, 6, 12, and 18 months)","The 2.5-day intervention uses a multidisciplinary approach rooted in performance psychology, exercise physiology, and nutrition to help maximize energy and promote lifelong behavior change. the intervention blends cognitive behavioral therapy and acceptance and commitment therapy to directly target the participant’s thoughts, actions, emotional processing, and social interactions",Secondary,wait-listed control group,Wave 1 = 163; Wave 2 = 146; Wave 3 =  ; Wave 4 = ,Wave 1 = 83; Wave 2 = 74; Wave 3 =  ; Wave 4 = ,Six-Month Change in Adjusted mean,IG = -2.28; CG = -.14,,,p = 0.042,NA,NA,NA,NA,10.2,,10.9,,Center for Epidemiologic Studies Depression,"To be eligible to participate, worksites had to have
been in operation for at least 3 years, have  300 employees
with a low turnover rate ( 15%)",18 month,
Das_2019_1,Emotional Wellbeing,Emotional Wellbeing enhancement,Sai Krupa Das,2019,employees reporting high levels of work-related fatigue.,,Employees   ,worksite-based randomized controlled trial,"4 ( baseline, 6, 12, and 18 months)","The 2.5-day intervention uses a multidisciplinary approach rooted in performance psychology, exercise physiology, and nutrition to help maximize energy and promote lifelong behavior change. the intervention blends cognitive behavioral therapy and acceptance and commitment therapy to directly target the participant’s thoughts, actions, emotional processing, and social interactions",Secondary,wait-listed control group,Wave 1 = 163; Wave 2 = 146; Wave 3 =  ; Wave 4 = ,Wave 1 = 83; Wave 2 = 74; Wave 3 =  ; Wave 4 = ,Adjusted percentages of participants scoring on average in the highest categories at 6 months,IG = .65; CG = .45,,,p = 0.027,NA,NA,NA,NA,72.5,,73.6,,36-item Short-Form,"To be eligible to participate, worksites had to have
been in operation for at least 3 years, have  300 employees
with a low turnover rate ( 15%)",18 month,
Dalgaard_2014_3,Cognitive failutre - Distractions,Cognitive failutre reduction- Distractions,Ligaya Dalgaard,2014,employees reporting high levels of work-related fatigue.,,,randomized controlled  trial,"3 (baseline, 4months, 10months)",CBT-based stress management intervention - six one- hour sessions with a psychologist over the course of 16 weeks,secondary,Control,Wave 1 = 57; Wave 2 = 55; Wave 3 =  50,Wave 1 = 80; Wave 2 = 62; Wave 3 =  59,,-0.05,-0.37,0.28,0.77,NA,NA,NA,NA,20.64,,19.73,,Cognitive failutre Questionnaire,"The workplace intervention consisted of one or two meetings at the workplace with the patient, the psy- chologist, a leader, and/or other representatives from the workplace. The aim was to address stress-related prob- lems at the workplace and facilitate a process that would meet the needs of the patient when he/she returned to work. Meetings typically lasted between 1-2 hours",10 months,
Dalgaard_2014_2,Cognitive failutre - Memory,Cognitive failutre reduction - Memory,Ligaya Dalgaard,2014,Employees from various worksites,,,randomized controlled  trial,"3 (baseline, 4months, 10months)",CBT-based stress management intervention - six one- hour sessions with a psychologist over the course of 16 weeks,secondary,Control,Wave 1 = 57; Wave 2 = 55; Wave 3 =  50,Wave 1 = 80; Wave 2 = 62; Wave 3 =  59,,-0.15,-0.47,0.17,0.35,NA,NA,NA,NA,10.77,,11.24,,Cognitive failutre Questionnaire,"The workplace intervention consisted of one or two meetings at the workplace with the patient, the psy- chologist, a leader, and/or other representatives from the workplace. The aim was to address stress-related prob- lems at the workplace and facilitate a process that would meet the needs of the patient when he/she returned to work. Meetings typically lasted between 1-2 hours",10 months,
Dalgaard_2014_1,Sleep quality,Sleep quality enhancement,Ligaya Dalgaard,2014,Employees from various worksites,,,randomized controlled  trial,"3 (baseline, 4months, 10months)",CBT-based stress management intervention - six one- hour sessions with a psychologist over the course of 16 weeks,secondary,Control,Wave 1 = 57; Wave 2 = 55; Wave 3 =  50,Wave 1 = 80; Wave 2 = 62; Wave 3 =  59,cohens d,-0.14,-0.54,0.24,0.466,NA,NA,NA,NA,18.63,,17.93,,Basic Nordic Sleep Questionnaire,"The workplace intervention consisted of one or two meetings at the workplace with the patient, the psy- chologist, a leader, and/or other representatives from the workplace. The aim was to address stress-related prob- lems at the workplace and facilitate a process that would meet the needs of the patient when he/she returned to work. Meetings typically lasted between 1-2 hours",10 months,
Crain_2016_2b,Mindfulness,Mindfulness enhancement,Tori L. Crain,2016,Employees from various worksites,,teachers,"randomized, waitlist-controlled field trial","3 (baseline, postprogram, and 3-month follow-up)","workplace mindfulness training - The WMT program is primarily experiential in nature and uses five main teaching activities to teach mindfulness and selfcompassion to teachers: guided mindfulness practices, group discussions of mindfulness practice, small-group activities to practice skills in real-life scenarios, lecture and guided home practices, and homework assignments",Secondary,wait list control,54,59,cohens d,0.87,,,p < .01,NA,NA,NA,NA,3.3,3.65,3.13,3.15,Five Factor Mindfulness Questionnaire,"The Canadian sample included 58 public school teachers (52 women, six men; 50% elementary level—kindergarten to 7th grade) from a large urban public school district in western Canada. The U.S. sample included 55 public school teachers (48 females, seven males; 51% elementary level) from a suburban public school district in the western United States. data collection included a take-home survey on mindfulness",3 months,
Crain_2016_2a,Mindfulness,Mindfulness enhancement,Tori L. Crain,2016,Patients with work related stress complaints,,teachers,"randomized, waitlist-controlled field trial","3 (baseline, postprogram, and 3-month follow-up)","workplace mindfulness training - The WMT program is primarily experiential in nature and uses five main teaching activities to teach mindfulness and selfcompassion to teachers: guided mindfulness practices, group discussions of mindfulness practice, small-group activities to practice skills in real-life scenarios, lecture and guided home practices, and homework assignments",Secondary,wait list control,54,59,F value,17.37,,,p < .01,NA,NA,NA,NA,3.3,3.65,3.13,3.15,Five Factor Mindfulness Questionnaire,"The Canadian sample included 58 public school teachers (52 women, six men; 50% elementary level—kindergarten to 7th grade) from a large urban public school district in western Canada. The U.S. sample included 55 public school teachers (48 females, seven males; 51% elementary level) from a suburban public school district in the western United States. data collection included a take-home survey on mindfulness",3 months,
Crain_2016_1b,Rumination,Rumination reduction,Tori L. Crain,2016,Patients with work related stress complaints,,teachers,"randomized, waitlist-controlled field trial","3 (baseline, postprogram, and 3-month follow-up)","workplace mindfulness training - The WMT program is primarily experiential in nature and uses five main teaching activities to teach mindfulness and selfcompassion to teachers: guided mindfulness practices, group discussions of mindfulness practice, small-group activities to practice skills in real-life scenarios, lecture and guided home practices, and homework assignments",Secondary,wait list control,54,59,cohens d,-0.87,,,p < .01,NA,NA,NA,NA,3.53,2.96,3.82,3.67,"two items taken from a broader inventory of teacher stress and coping items (Lambert, McCarthy, & Abbott-Shim, 2001).","The Canadian sample included 58 public school teachers (52 women, six men; 50% elementary level—kindergarten to 7th grade) from a large urban public school district in western Canada. The U.S. sample included 55 public school teachers (48 females, seven males; 51% elementary level) from a suburban public school district in the western United States. data collection included a take-home survey on mindfulness",3 months,
Crain_2016_1a,Rumination,Rumination reduction,Tori L. Crain,2016,Patients with work related stress complaints,,teachers,"randomized, waitlist-controlled field trial","3 (baseline, postprogram, and 3-month follow-up)","workplace mindfulness training - The WMT program is primarily experiential in nature and uses five main teaching activities to teach mindfulness and selfcompassion to teachers: guided mindfulness practices, group discussions of mindfulness practice, small-group activities to practice skills in real-life scenarios, lecture and guided home practices, and homework assignments",Secondary,wait list control,54,59,F value,19.58,,,p < .01,NA,NA,NA,NA,3.53,2.96,3.82,3.67,"two items taken from a broader inventory of teacher stress and coping items (Lambert, McCarthy, & Abbott-Shim, 2001).","The Canadian sample included 58 public school teachers (52 women, six men; 50% elementary level—kindergarten to 7th grade) from a large urban public school district in western Canada. The U.S. sample included 55 public school teachers (48 females, seven males; 51% elementary level) from a suburban public school district in the western United States. data collection included a take-home survey on mindfulness",3 months,
Coffeng_2014_3,Work-related stress Exhaustion,Work-related stress Exhaustion reduction,Jennifer K. Coffeng,2014,public school teachers,,employees,Randomised control design,"3 (baseline, 6 months, 12 months)",Physical and Social Intervention,Secondary,,Wave 1 = 92; Wave 2 = 65; Wave 3 =  63,Wave 1 = 106; Wave 2 = 97; Wave 3 =  96,B value,-0.2,-0.3,-0.1,p < .01,NA,NA,NA,NA,2.3,2.2,2.1,2.2,OLdenburg Burnout Inventory,2*2 factorial design (social and physical environment intervention) of which the social environment intervention was randomized at department level and the physical environment intervention was stratified on department level,,
Coffeng_2014_2,Work-related stress Exhaustion,Work-related stress Exhaustion reduction,Jennifer K. Coffeng,2014,public school teachers,,employees,Randomised control design,"3 (baseline, 6 months, 12 months)",Physical environment intervention - Vitality in Practice (VIP) zones were created,Secondary,,Wave 1 = 96; Wave 2 = 82; Wave 3 =  76,Wave 1 = 106; Wave 2 = 97; Wave 3 =  96,B value,-0.1,-0.2,0,p = .16,NA,NA,NA,NA,2.1,2.1,2.1,2.2,OLdenburg Burnout Inventory,2*2 factorial design (social and physical environment intervention) of which the social environment intervention was randomized at department level and the physical environment intervention was stratified on department level,,
Coffeng_2014_1,Work-related stress Exhaustion,Work-related stress Exhaustion reduction,Jennifer K. Coffeng,2014,public school teachers,,employees,Randomised control design,"3 (baseline, 6 months, 12 months)","Social environment intervention - Group Motivational
Interviewing (GMI) derived from Motivational Interviewing (MI). Motivational interviewing (MI) is a counseling style that stimulates behavioral change by focusing on exploring and resolving ambivalence",Secondary,Control,Wave 1 = 118; Wave 2 = 105; Wave 3 =  94,Wave 1 = 106; Wave 2 = 97; Wave 3 =  96,B value,-0.1,-0.1,0,p = .13,NA,NA,NA,NA,2.1,2.1,2.1,2.2,OLdenburg Burnout Inventory,2*2 factorial design (social and physical environment intervention) of which the social environment intervention was randomized at department level and the physical environment intervention was stratified on department level,12 months,
Clemow_2018_4,Depressive rumination,Depressive rumination reduction,Lynn P. Clemow,2018,public school teachers,,Employees   ,Randomised control design,2 (baseline and followup),"LifeSkills Workshop is a structured cognitive-behavioral
group intervention that draws on cognitive-behavioral
techniques and stress reduction approaches.",Secondary,Control,Wave 1 = 46; Wave 2 = 40,Wave 1 = 46; Wave 2 = 41,Change Score,-1.3,,,p = .02,NA,NA,NA,NA,19,Not mentioned,17,Not mentioned,Ruminative Response Scale,"Randomization was done by calling an off-site person holding the randomization envelopes, using random-sized randomization blocks provided by the study statistician (J.E.S.), in accordance with CONSORT (Consolidated Standards of Reporting Trials) guidelines",10 weeks,
Clemow_2018_3,Personal accomplishment,Personal accomplishment enhancement,Lynn P. Clemow,2018,office employees of a financial service provider,,Employees   ,Randomised control design,2 (baseline and followup),"LifeSkills Workshop is a structured cognitive-behavioral
group intervention that draws on cognitive-behavioral
techniques and stress reduction approaches.",Secondary,Control,Wave 1 = 46; Wave 2 = 40,Wave 1 = 46; Wave 2 = 41,Change Score,1.9,,,p > .05,NA,NA,NA,NA,32.3,Not mentioned,31.5,Not mentioned,Maslach Burnout Inventory,"Randomization was done by calling an off-site person holding the randomization envelopes, using random-sized randomization blocks provided by the study statistician (J.E.S.), in accordance with CONSORT (Consolidated Standards of Reporting Trials) guidelines",10 weeks,
Clemow_2018_2,Depersonalization,Depersonalization reduction,Lynn P. Clemow,2018,office employees of a financial service provider,,Employees   ,Randomised control design,2 (baseline and followup),"LifeSkills Workshop is a structured cognitive-behavioral
group intervention that draws on cognitive-behavioral
techniques and stress reduction approaches.",Secondary,Control,Wave 1 = 46; Wave 2 = 40,Wave 1 = 46; Wave 2 = 41,Change Score,-0.89,,,p > .05,NA,NA,NA,NA,5.4,Not mentioned,4.2,Not mentioned,Maslach Burnout Inventory,"Randomization was done by calling an off-site person holding the randomization envelopes, using random-sized randomization blocks provided by the study statistician (J.E.S.), in accordance with CONSORT (Consolidated Standards of Reporting Trials) guidelines",10 weeks,
Clemow_2018_1,Emotional Exhaustion,Emotional Exhaustion reduction,Lynn P. Clemow,2018,office employees of a financial service provider,,Employees   ,Randomised control design,2 (baseline and followup),"LifeSkills Workshop is a structured cognitive-behavioral
group intervention that draws on cognitive-behavioral
techniques and stress reduction approaches.",Secondary,Control,Wave 1 = 46; Wave 2 = 40,Wave 1 = 46; Wave 2 = 41,Change Score,−2.5,,,p = .03,NA,NA,NA,NA,19.2,Not mentioned,23.2,Not mentioned,Maslach Burnout Inventory,"Randomization was done by calling an off-site person holding the randomization envelopes, using random-sized randomization blocks provided by the study statistician (J.E.S.), in accordance with CONSORT (Consolidated Standards of Reporting Trials) guidelines",10 weeks,
Ebert_2016_4b,Emotional Exhaustion,Emotional Exhaustion reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,Cohen's d,0.81,0.56,1.06,,NA,NA,NA,NA,4.73,3.73,4.73,4.48,Maslach Burnout Inventory-emotional exhaustion subscale,,6 months,
Ebert_2016_4a,Emotional Exhaustion,Emotional Exhaustion reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,F values,30,,,p < .001,NA,NA,NA,NA,4.73,3.73,4.73,4.48,Maslach Burnout Inventory-emotional exhaustion subscale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_3b,Anxiety,Anxiety reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,Cohen's d,0.88,0.63,1.13,,NA,NA,NA,NA,10.65,6.86,11.12,10.04,subscale of Hospital and Anxiety Depression Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_3a,Anxiety,Anxiety reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,F values,29.77,,,p < .001,NA,NA,NA,NA,10.65,6.86,11.12,10.04,subscale of Hospital and Anxiety Depression Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_2b,Depression,Depression reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,Cohen's d,0.85,0.59,1.1,,NA,NA,NA,NA,23.17,15.52,24.27,22.75,Center for Epidemiologic Studies Depression Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_2a,Depression,Depression reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,F values,18.6,,,p < .001,NA,NA,NA,NA,23.17,15.52,24.27,22.75,Center for Epidemiologic Studies Depression Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_1b,Perceived Stress,Perceived Stress reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,Cohen's d,0.85,0.59,1.1,,NA,NA,NA,NA,25.21,17.05,25.31,22.24,Perceived Stress Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2016_1a,Perceived Stress,Perceived Stress reduction,David Daniel Elbert,2016,Employees with elevated stress symptoms,,Employees   ,randomized controlled trial.,3 (baseline; 7 weeks and 6 months),internet based stress management - Problem solving and emotional regulaiton techniques,,wait-listed control group,Wave 1 = 132 Wave 2 = 112  Wave 3 =  97 ,Wave 1 = 132 Wave 2 = 128  Wave 3 =  122,F values,25.22,,,p < .001,NA,NA,NA,NA,25.21,17.05,25.31,22.24,Perceived Stress Scale,Participants were recruited via an occupational health program of a large health insurance company in Germany,6 months,
Ebert_2014_5b,Perceived Stress ,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,Cohen's d,0.36,0.04,0.69,p < .05,NA,NA,NA,NA,0.66,0.53,0.67,0.6,Perceived Stress Questionnaire,Internet-based problem-solving training,6 months,
Ebert_2014_5a,Perceived Stress ,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,B value,-0.06,-0.12,-0.01,p < .05,NA,NA,NA,NA,0.66,0.53,0.67,0.6,Perceived Stress Questionnaire,Internet-based problem-solving training,6 months,
Ebert_2014_4b,Personal accomplishment,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,Cohen's d,0.25,-0.08,0.57,p < .10,NA,NA,NA,NA,30.99,32.52,30.91,31.24,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_4a,Personal accomplishment,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,B value,1.19,-0.09,2.46,p < .10,NA,NA,NA,NA,30.99,32.52,30.91,31.24,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_3b,Depersonalization,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,Cohen's d,0.23,-0.09,0.55,,NA,NA,NA,NA,12.8,11.34,11.99,11.96,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_3a,Depersonalization,,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,B value,-1.39,-2.7,0.08,p < .05,NA,NA,NA,NA,12.8,11.34,11.99,11.96,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_2b,Emotional exhaustion,Emotional exhaustion reduction,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,Cohen's d,0.24,-0.08,0.56,,NA,NA,NA,NA,38.39,34.51,38.85,38.01,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_2a,Emotional exhaustion,Emotional exhaustion reduction,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,B value,-3,-5.59,-0.42,p < .05,NA,NA,NA,NA,38.39,34.51,38.85,38.01,The Maslach Burnout Inventory,Internet-based problem-solving training,6 months,
Ebert_2014_1b,Depressive symptoms,Depressive symptoms reduction,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,Cohen's d,.59 ,0.26,0.92,,NA,NA,NA,NA,22.76,15.87,22.81,19.91,Center for Epidemiologic Studies Depression Scale,Internet-based problem-solving training,6 months,
Ebert_2014_1a,Depressive symptoms,Depressive symptoms reduction,David Daniel Elbert,2014,Teachers,,Teachers,randomized controlled trial.,"4 - baseline (Tl) and seven weeks (T2), three months (T3), and six months (T4) af","Internet-based problem-solving training (is composed of five lessons, in which participants acquire different problem-solving techniques)",Secondary,wait-listed control group,Wave 1 = 70; Wave 2 = 64;  Wave 3 =  53; Wave 4 = 61,Wave 1 = 75; Wave 2 = 69;  Wave 3 =  68; Wave 4 = 66,B value,-3.98,-7.25,-0.7,p < .05,NA,NA,NA,NA,22.76,15.87,22.81,19.91,Center for Epidemiologic Studies Depression Scale,Internet-based problem-solving training,6 months,
Duchemin_2015_5,personal accomplishment ,,Anne-Marie Duchemin,2015,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",,,randomized controlled trial.,2 (baseline and 2-month time point),The 8-week group MBI combines a didactic introduction/discussion and a combination of mindfulness and yoga practices with music at each session,Secondary,wait-listed control group,Wave 1 = 16 Wave 2 = 16,Wave 1 = 16 Wave 2 = 16,t value,0.9477 ,,,p = 0.3508 ,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Maslach’s burnout inventory,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",2 months,
Duchemin_2015_4,depersonalization ,,Anne-Marie Duchemin,2015,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",,,randomized controlled trial.,2 (baseline and 2-month time point),The 8-week group MBI combines a didactic introduction/discussion and a combination of mindfulness and yoga practices with music at each session,Secondary,wait-listed control group,Wave 1 = 16 Wave 2 = 16,Wave 1 = 16 Wave 2 = 16,t value,0.4909 ,,,p = 0.685 ,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Maslach’s burnout inventory,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",2 months,
Duchemin_2015_3,emotional exhaustion,,Anne-Marie Duchemin,2015,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",,,randomized controlled trial.,2 (baseline and 2-month time point),The 8-week group MBI combines a didactic introduction/discussion and a combination of mindfulness and yoga practices with music at each session,Secondary,wait-listed control group,Wave 1 = 16 Wave 2 = 16,Wave 1 = 16 Wave 2 = 16,t value,1.0124 ,,,p = 0.3185,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Maslach’s burnout inventory,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",2 months,
Duchemin_2015_2,Psychological stress,Psychological stress reduction,Anne-Marie Duchemin,2015,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",,,randomized controlled trial.,2 (baseline and 2-month time point),The 8-week group MBI combines a didactic introduction/discussion and a combination of mindfulness and yoga practices with music at each session,Secondary,wait-listed control group,Wave 1 = 16 Wave 2 = 16,Wave 1 = 16 Wave 2 = 16,t value,2.245 ,,,p = 0.040 ,NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Depression Anxiety Stress Scale,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",2 months,
Duchemin_2015_1,Psychological stress,Psychological stress reduction,Anne-Marie Duchemin,2015,"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",,,randomized controlled trial.,2 (baseline and 2-month time point),The 8-week group MBI combines a didactic introduction/discussion and a combination of mindfulness and yoga practices with music at each session,Secondary,wait-listed control group,Wave 1 = 16 Wave 2 = 16,,t value,1.394 ,,,"p = 0.1835, ",NA,NA,NA,NA,not mentioned,not mentioned,not mentioned,not mentioned,Perceived Stress Scale (PSS),"personnel, 18 or older, from the surgical intensive care unit (SICU) of a large academic medical center",2 months,
